architecture,model_path,model_parameters,image_height,image_width,image_size_label,learning_rate,dropout_rate,dense_units,batch_size,epochs_trained,training_time_seconds,train_mae_norm,val_mae_norm,test_mae_norm,train_loss_norm,val_loss_norm,test_loss_norm,val_mse_original,val_mae_original,val_rmse_original,test_mse_original,test_mae_original,test_rmse_original
large,outputs/models/large_64x64_dense128_drop0_2_bs64_lr0_001.keras,617121,64,64,64x64,0.001,0.2,128,64,33,203.07379055023193,0.10785803198814392,0.102916419506073,0.10540370643138885,0.021105213090777397,0.01990264281630516,0.0203070230782032,1583.0943603515625,29.02570343017578,39.78811833137579,1615.2601318359375,29.72719383239746,40.19029897669259
small,outputs/models/small_224x224_dense64_drop0_3_bs64_lr0_0001.keras,7457,224,224,224x224,0.0001,0.3,64,64,50,742.311252117157,0.12745662033557892,0.12431453913450241,0.12234296649694443,0.03425068408250809,0.033161360770463943,0.03241822123527527,2637.718505859375,35.06065368652344,51.358723756138794,2578.60791015625,34.50461196899414,50.77999517680412
large,outputs/models/large_96x96_dense128_drop0_3_bs64_lr0_001.keras,617121,96,96,96x96,0.001,0.3,128,64,50,562.5491847991943,0.13362433016300201,0.12815646827220917,0.12906107306480408,0.03178953751921654,0.029508715495467186,0.029591403901576996,2347.180419921875,36.14419937133789,48.447708097719904,2353.757080078125,36.39932632446289,48.5155344202053
small,outputs/models/small_128x128_dense128_drop0_3_bs64_lr0_001.keras,9633,128,128,128x128,0.001,0.3,128,64,23,139.6217701435089,0.1379309892654419,0.13016682863235474,0.13271138072013855,0.041021429002285004,0.0377143956720829,0.03794378414750099,2999.876220703125,36.711185455322266,54.77112579364354,3018.12255859375,37.42882537841797,54.93744222835415
large,outputs/models/large_96x96_dense128_drop0_2_bs64_lr0_001.keras,617121,96,96,96x96,0.001,0.2,128,64,27,302.04368257522583,0.14052343368530273,0.1361219733953476,0.1344686597585678,0.036151353269815445,0.03381066769361496,0.03317420929670334,2689.365966796875,38.39072799682617,51.859097242401695,2638.7412109375,37.9244384765625,51.368679279669045
large,outputs/models/large_160x160_dense64_drop0_3_bs64_lr0_001.keras,600609,160,160,160x160,0.001,0.3,64,64,50,1334.4584362506866,0.14468613266944885,0.13720494508743286,0.1385202556848526,0.03976459428668022,0.03612047806382179,0.0367274172604084,2873.09326171875,38.69615173339844,53.601243098632985,2921.369873046875,39.06711196899414,54.049698177204235
large,outputs/models/large_128x128_dense64_drop0_2_bs64_lr0_001.keras,600609,128,128,128x128,0.001,0.2,64,64,50,977.6163763999939,0.1482553631067276,0.13859045505523682,0.1392177939414978,0.04224853962659836,0.03793666884303093,0.038669832050800323,3017.5556640625,39.086917877197266,54.93228253097171,3075.87353515625,39.263858795166016,55.460558374003504
small,outputs/models/small_96x96_dense64_drop0_2_bs64_lr0_0001.keras,7457,96,96,96x96,0.0001,0.2,64,64,47,175.37135004997253,0.15010672807693481,0.14511971175670624,0.14410081505775452,0.04251493513584137,0.039486661553382874,0.03902732580900192,3140.844970703125,40.928375244140625,56.04324197174112,3104.30859375,40.641014099121094,55.71632250741249
medium,outputs/models/medium_96x96_dense64_drop0_3_bs64_lr0_001.keras,102465,96,96,96x96,0.001,0.3,64,64,24,153.21315145492554,0.17521975934505463,0.15979361534118652,0.1637466996908188,0.08695659041404724,0.07453632354736328,0.07876139879226685,5928.763671875,45.06687927246094,76.99846538649325,6264.83349609375,46.1817741394043,79.15070117247068
small,outputs/models/small_160x160_dense128_drop0_2_bs64_lr0_0001.keras,9633,160,160,160x160,0.0001,0.2,128,64,50,404.5420060157776,0.17008361220359802,0.1630782186985016,0.16484110057353973,0.06391630321741104,0.05978615954518318,0.06172439083456993,4755.50634765625,45.99324417114258,68.96017943462915,4909.677734375,46.49042510986328,70.06909257564993
small,outputs/models/small_160x160_dense128_drop0_2_bs64_lr0_001.keras,9633,160,160,160x160,0.001,0.2,128,64,35,285.35286474227905,0.16306714713573456,0.16351784765720367,0.16039501130580902,0.0358545295894146,0.035734400153160095,0.034440986812114716,2842.3828125,46.11722946166992,53.31400203042349,2739.501953125,45.23649978637695,52.34025174877362
large,outputs/models/large_64x64_dense64_drop0_2_bs64_lr0_0001.keras,600609,64,64,64x64,0.0001,0.2,64,64,21,129.7380108833313,0.17944572865962982,0.1643313318490982,0.16963744163513184,0.08092854171991348,0.06894620507955551,0.07324720919132233,5484.11572265625,46.34666061401367,74.05481566148315,5826.22607421875,47.84316635131836,76.32971946901645
small,outputs/models/small_64x64_dense64_drop0_2_bs64_lr0_0001.keras,7457,64,64,64x64,0.0001,0.2,64,64,50,121.79671120643616,0.17956814169883728,0.16478946805000305,0.16771017014980316,0.07373110949993134,0.0625130832195282,0.06507447361946106,4972.412109375,46.47587203979492,70.51533244178177,5176.150390625,47.29959487915039,71.94546817295027
small,outputs/models/small_224x224_dense128_drop0_2_bs64_lr0_001.keras,9633,224,224,224x224,0.001,0.2,128,64,20,302.8314473628998,0.18707256019115448,0.1761620193719864,0.17905350029468536,0.07272809743881226,0.06481961905956268,0.06645924597978592,5155.87744140625,49.683292388916016,71.80443886979586,5286.296875,50.498779296875,72.70692453267432
small,outputs/models/small_96x96_dense64_drop0_3_bs64_lr0_0001.keras,7457,96,96,96x96,0.0001,0.3,64,64,50,188.31111693382263,0.19010205566883087,0.17923982441425323,0.18108338117599487,0.06922229379415512,0.061940912157297134,0.06351106613874435,4926.89892578125,50.551334381103516,70.19187222023109,5051.79248046875,51.0712776184082,71.07596274739267
large,outputs/models/large_96x96_dense64_drop0_3_bs64_lr0_001.keras,600609,96,96,96x96,0.001,0.3,64,64,45,496.51891112327576,0.18755458295345306,0.18094298243522644,0.18682299554347992,0.05474238842725754,0.04946616664528847,0.05269546061754227,3934.634765625,51.031673431396484,62.72666710120186,4191.4990234375,52.690040588378906,64.74178730493544
medium,outputs/models/medium_64x64_dense128_drop0_2_bs64_lr0_001.keras,110785,64,64,64x64,0.001,0.2,128,64,10,47.98444652557373,0.2100008726119995,0.19141124188899994,0.19668255746364594,0.10869605094194412,0.09243539720773697,0.09705092012882233,7352.49072265625,53.98405456542969,85.74666595650382,7719.619140625,55.47075271606445,87.86136318442254
large,outputs/models/large_96x96_dense64_drop0_2_bs64_lr0_001.keras,600609,96,96,96x96,0.001,0.2,64,64,25,285.9198513031006,0.2032020539045334,0.19536252319812775,0.1952308714389801,0.07208222150802612,0.0665605291724205,0.06784559041261673,5294.3544921875,55.09844207763672,72.7623150551678,5396.5693359375,55.06131362915039,73.4613458625521
